  notation,bw(mm),a/d,d(mm),pl%,fck(Mpa),f´c(Mpa),Vu_Rep(kN)
Adebar_1989_001_ST1,360,2.92,278.0,1.569,48.50,50.10,127.5
Adebar_1989_002_ST2,360,2.92,278.0,1.569,48.50,50.10,118.7
Adebar_1989_003_ST3,290,2.92,278.0,1.947,45.30,46.90,107.7
Adebar_1989_005_ST16,290,4.56,178.0,3.041,47.50,49.10,75.1
Adebar_1989_007_ST23,290,2.92,278.0,0.992,54.90,56.50,89.9
AhmadKhaloo_1986_001_A1,127,4.00,203.2,3.927,58.39,59.99,58.3
AhmadKhaloo_1986_002_A2,127,3.00,203.2,3.927,58.39,59.99,69.3
AhmadKhaloo_1986_003_A3,127,2.70,203.2,3.927,58.39,59.99,69.3
AhmadKhaloo_1986_007_A7,127,4.00,208.0,1.768,58.39,59.99,47.2
AhmadKhaloo_1986_008_A8,127,3.00,208.0,1.768,58.39,59.99,49.3
AhmadKhaloo_1986_013_B1,127,4.00,201.7,5.034,64.71,66.31,51.7
AhmadKhaloo_1986_014_B2,127,3.00,201.7,5.034,64.71,66.31,69.3
AhmadKhaloo_1986_015_B3,127,2.70,201.7,5.034,64.71,66.31,100.4
AhmadKhaloo_1986_019_B7,127,4.00,208.0,2.248,64.71,66.31,45.0
AhmadKhaloo_1986_020_B8,127,3.00,208.0,2.248,64.71,66.31,47.1
AhmadKhaloo_1986_021_B9,127,2.70,208.0,2.248,64.71,66.31,80.4
AhmadKhaloo_1986_025_C1,127,4.00,184.2,6.635,61.97,63.57,54.7
AhmadKhaloo_1986_026_C2,127,3.00,184.2,6.635,61.97,63.57,76.0
AhmadKhaloo_1986_027_C3,127,2.70,184.2,6.635,61.97,63.57,69.3
AhmadKhaloo_1986_031_C7,127,4.00,206.5,3.260,61.97,63.57,45.8
AhmadKhaloo_1986_032_C8,127,3.00,206.5,3.260,61.97,63.57,44.9
AhmadKhaloo_1986_033_C9,127,2.70,206.5,3.260,61.97,63.57,45.7
AhmadPark_1995_007_B7N,102,3.70,178.0,1.395,39.63,41.23,26.7
AhmadPark_1995_015_B7H,102,3.70,178.0,1.395,74.09,75.69,26.9
AhmadPark_1995_016_B8H,102,3.70,178.0,1.395,76.84,78.44,26.9
AlAlusi_1957_002_12,76,2.50,127.0,2.618,21.17,22.77,27.0
AlAlusi_1957_003_11,76,3.40,127.0,2.618,24.62,26.22,17.4
AlAlusi_1957_004_2,76,3.40,127.0,1.473,23.88,25.48,14.4
AlAlusi_1957_005_21,76,3.40,127.0,2.618,25.24,26.84,24.1
AlAlusi_1957_006_15,76,4.00,127.0,2.618,21.24,22.84,17.2
AlAlusi_1957_008_10,76,4.00,127.0,2.618,24.62,26.22,14.7
AlAlusi_1957_009_4,76,4.00,127.0,1.473,22.55,24.15,13.9
AlAlusi_1957_010_13,76,4.00,127.0,2.618,24.72,26.32,17.0
AlAlusi_1957_012_18,76,4.50,127.0,2.618,22.90,24.50,14.0
AlAlusi_1957_015_7,76,4.50,127.0,2.618,21.45,23.05,13.5
AlAlusi_1957_016_24,76,4.50,127.0,2.618,24.48,26.08,15.4
AlAlusi_1957_017_16,76,4.50,127.0,2.618,24.14,25.74,14.8
AlAlusi_1957_018_17,76,5.50,127.0,2.618,25.59,27.19,13.8
AlAlusi_1957_019_8,76,5.50,127.0,2.618,22.28,23.88,13.4
AlAlusi_1957_020_19,76,5.50,127.0,4.091,26.62,28.22,14.0
AlAlusi_1957_021_25,76,5.50,127.0,2.618,22.00,23.60,13.5
AlAlusi_1957_022_9,76,6.50,127.0,2.618,27.72,29.32,14.1
AlAlusi_1957_023_20,76,6.50,127.0,4.091,23.28,24.88,15.0
AlAlusi_1957_025_23,76,7.40,127.0,4.091,24.21,25.81,14.0
Angelakos_2000_001_DB0530,300,2.88,925.0,0.505,28.00,29.60,167.9
Angelakos_2000_002_DB120,300,2.88,925.0,1.009,17.00,18.60,181.9
Angelakos_2000_003_DB130,300,2.88,925.0,1.009,28.00,29.60,187.9
Angelakos_2000_004_DB140,300,2.88,925.0,1.009,34.00,35.60,182.9
Angelakos_2000_005_DB165,300,2.88,925.0,1.009,61.00,62.60,187.9
Angelakos_2000_006_DB180,300,2.88,925.0,1.009,76.00,77.60,174.9
Angelakos_2000_007_DB230,300,2.97,895.0,2.086,28.00,29.60,259.9
Aster_1974_002_2,1000,3.68,250.0,0.640,22.92,24.52,221.6
Aster_1974_003_3,1000,3.68,250.0,0.912,23.32,24.92,226.1
Aster_1974_005_11,1000,3.65,500.0,0.456,20.58,22.18,279.7
Aster_1974_006_12,1000,3.65,500.0,0.652,23.32,24.92,342.5
Aster_1974_007_16,1000,3.67,750.0,0.419,26.36,27.96,432.6
Lubell_2004_001_AT-1 - East,2016,2.91,916.0,0.760,60.14,61.74,1194.2
Lubell_2004_002_AT-1 West,2016,2.91,916.0,0.760,60.60,62.20,1287.8
Lubell_2004_003_AT-2 / 250N,250,2.89,437.0,0.915,33.70,35.30,116.8
Lubell_2004_004_AT-2/ 250W,252,2.87,439.0,0.904,34.50,36.10,113.7
Lubell_2004_005_AT-2 /1000W,1002,2.87,439.0,0.909,35.00,36.60,479.3
Lubell_2004_006_AT-2/1000N,1002,2.88,438.0,0.911,33.90,35.50,448.0
Lubell_2004_007_AT-2/3000,3005,2.87,439.0,0.910,36.60,38.20,1308.4
Lubell_2004_008_AT-3/N1,697,3.26,307.0,0.935,33.50,35.10,240.2
Lubell_2004_009_AT-3/N2,706,3.27,306.0,0.926,33.10,34.70,261.3
Lubell_2004_010_AT-3/T1,700,3.27,306.0,0.934,33.80,35.40,256.4
Lubell_2004_011_AT-3/T2,706,3.26,307.0,0.923,33.10,34.70,252.3
Bernander_1957_001_A1,100,4.17,168.0,1.109,25.12,26.72,21.2
Bernander_1957_002_A2,100,4.17,168.0,1.167,25.12,26.72,23.7
Bernander_1957_003_A3,100,4.17,168.0,0.966,23.57,25.17,19.8
Bernander_1957_004_A4,100,4.17,168.0,1.109,25.12,26.72,21.6
Bernander_1957_005_A5,100,4.17,168.0,1.167,25.12,26.72,21.0
Bernander_1957_006_A6,100,4.17,168.0,0.966,23.57,25.17,17.3
Bernhardt_1986_001_S6A,150,2.52,159.0,2.634,78.11,79.71,95.8
Bernhardt_1986_003_S6C,150,2.52,159.0,2.634,78.11,79.71,115.8
Bernhardt_1986_004_S9A,150,3.46,159.0,5.269,78.11,79.71,80.7
Bernhardt_1986_005_S9B,150,3.46,159.0,5.269,78.11,79.71,65.7
Bernhardt_1986_006_S9C,150,3.46,159.0,5.269,93.11,94.71,68.7
Bhal_1968_001_B1,240,2.94,300.0,1.257,19.18,20.78,71.0
Bhal_1968_002_B2,240,2.94,600.0,1.257,25.60,27.20,119.5
Bhal_1968_003_B3,240,2.94,900.0,1.257,23.49,25.09,166.4
Bhal_1968_004_B4,240,2.94,1200.0,1.257,21.21,22.81,187.1
Bhal_1968_005_B5,240,2.94,600.0,0.628,22.59,24.19,106.9
Bhal_1968_006_B6,240,2.94,600.0,0.628,20.72,22.32,115.4
Bhal_1968_007_B7,240,2.94,900.0,0.628,23.24,24.84,140.0
Bhal_1968_008_B8,240,2.94,900.0,0.628,23.73,25.33,127.6
Bresler_1963_001_ 0A-1,310,3.80,461.0,1.805,18.55,20.15,170.7
Bresler_1963_002_0A-2,305,4.74,466.1,2.269,19.72,21.32,184.4
Bresler_1963_003_0A-3,307,6.77,461.5,2.727,33.59,35.19,195.8
Cladera_2002_001_H 50/1,200,2.90,360.0,2.234,45.90,47.50,99.7
Cladera_2002_002_H 50/5,200,2.90,360.0,2.234,45.90,47.50,129.7
Cladera_2002_003_H 60/1,200,2.90,360.0,2.234,56.80,58.40,108.1
Cladera_2002_004_H 75/1,200,2.90,360.0,2.234,64.90,66.50,99.9
Cladera_2002_005_H 100/1,200,2.90,360.0,2.234,83.00,84.60,117.9
Cladera_2002_006_H 100/5,200,2.90,360.0,2.234,83.00,84.60,140.1
Cao_2000_001_SB 2003/0,300,2.89,1845.0,1.518,23.45,25.05,418.4
Cao_2000_002_SB 2012/0,300,2.77,1925.0,0.364,26.05,27.65,238.9
Cederwall_1974_001_734-34,135,3.42,234.0,1.074,25.28,26.88,42.1
Chana_1981_001_2.1a,203,3.00,356.0,1.739,34.92,36.52,96.0
Chana_1981_001_2.1b,203,3.00,356.0,1.739,34.92,36.52,97.1
Chana_1981_002_2.2a,203,3.00,356.0,1.739,28.84,30.44,87.4
Chana_1981_002_2.2b,203,3.00,356.0,1.739,28.84,30.44,94.4
Chana_1981_003_2.3a,203,3.00,356.0,1.739,31.68,33.28,99.4
Chana_1981_003_2.3b,203,3.00,356.0,1.739,31.68,33.28,96.4
Chana_1981_004_3.1a,100,3.00,177.0,1.775,20.51,22.11,23.8
Chana_1981_004_3.1b,100,3.00,177.0,1.775,20.51,22.11,23.9
Chana_1981_005_3.2a,100,3.00,177.0,1.775,22.15,23.75,24.5
Chana_1981_005_3.2b,100,3.00,177.0,1.775,22.15,23.75,25.5
Chana_1981_006_3.3a,100,3.00,177.0,1.775,24.49,26.09,26.5
Chana_1981_006_3.3b,100,3.00,177.0,1.775,24.49,26.09,23.2
Chana_1981_007_D1,100,3.00,177.0,1.775,18.45,20.05,22.1
Chana_1981_008_D2,100,3.00,177.0,1.775,19.02,20.62,23.4
Chana_1981_009_D3,100,3.00,177.0,1.775,27.76,29.36,21.4
Chana_1981_010_4.1a,60,3.00,106.0,1.778,16.82,18.42,9.8
Chana_1981_010_4.1b,60,3.00,106.0,1.778,16.82,18.42,8.7
Chana_1981_011_4.2a,60,3.00,106.0,1.778,16.82,18.42,9.0
Chana_1981_011_4.2b,60,3.00,106.0,1.778,16.82,18.42,9.7
Chana_1981_012_4.3a,60,3.00,106.0,1.778,31.17,32.77,11.7
Chana_1981_012_4.3b,60,3.00,106.0,1.778,31.17,32.77,12.4
Chana_1981_013_4.4a,60,3.00,106.0,1.778,31.17,32.77,9.6
Chana_1981_013_4.4b,60,3.00,106.0,1.778,31.17,32.77,10.5
Chang_1958_001_IA1,102,4.09,136.7,2.890,23.59,25.19,19.9
Chang_1958_003_IB1,102,2.60,136.7,1.860,23.59,25.19,19.6
Chang_1958_005_IC1,102,3.35,136.7,2.370,23.59,25.19,19.6
Chang_1958_006_IC2,102,3.35,136.7,2.370,23.59,25.19,17.8
Chang_1958_009_IIB1,102,4.09,136.7,2.370,13.66,15.26,16.6
Chang_1958_011_IIC1,102,2.60,136.7,2.890,13.66,15.26,17.8
Chang_1958_027_4-21a,102,3.72,136.7,1.860,34.62,36.22,21.1
Chang_1958_029_4-22a,102,3.72,136.7,1.860,27.86,29.46,21.4
Chang_1958_031_4-23a,102,3.72,136.7,1.860,28.21,29.81,21.6
Chang_1958_037_5-21a,102,3.72,136.7,2.890,28.21,29.81,28.9
Chang_1958_038_5-21b,102,3.72,136.7,2.890,28.21,29.81,27.5
Chang_1958_039_5-22a,102,3.72,136.7,2.890,27.17,28.77,22.4
Chang_1958_040_5-22b,102,3.72,136.7,2.890,27.17,28.77,25.9
Chang_1958_041_5-23a,102,3.72,136.7,2.890,28.07,29.67,24.5
Chang_1958_042_5-23b,102,3.72,136.7,2.890,28.07,29.67,23.4
Collins_1999_001_B100,300,2.88,925.0,1.009,32.00,33.60,227.9
Collins_1999_002_B100H,300,2.88,925.0,1.009,94.00,95.60,193.0
Collins_1999_003_B100B,300,2.88,925.0,1.009,35.00,36.60,206.9
Collins_1999_004_B100L,300,2.88,925.0,1.009,35.00,36.60,225.9
Collins_1999_005_B100-R,300,2.88,925.0,1.009,32.00,33.60,251.9
Collins_1999_006_B100HE,300,2.88,925.0,1.009,94.00,95.60,219.9
Collins_1999_007_B100L-R,300,2.88,925.0,1.009,35.00,36.60,237.9
DiazdeCossio_1960_002_A-2,152,3.30,254.0,0.982,27.52,29.12,42.4
DiazdeCossio_1960_003_A-3,152,4.30,254.0,0.982,15.45,17.05,34.9
DiazdeCossio_1960_007_A-12,152,3.30,254.0,3.331,22.69,24.29,59.5
DiazdeCossio_1960_008_A-13,152,4.30,254.0,3.331,18.14,19.74,47.6
DiazdeCossio_1960_009_A-14,152,5.30,254.0,3.331,23.52,25.12,55.5
Drangsholt_1990_001_B11,150,3.00,221.0,1.820,50.00,51.60,58.1
Drangsholt_1990_003_B13,150,4.00,207.0,3.238,50.00,51.60,70.5
Drangsholt_1990_004_B14,150,3.00,207.0,3.238,50.00,51.60,82.6
Drangsholt_1990_006_B21,150,3.00,221.0,1.820,73.78,75.38,67.9
Drangsholt_1990_008_B23,150,4.00,207.0,3.238,73.78,75.38,77.8
Drangsholt_1990_009_B24,150,3.00,207.0,3.238,73.78,75.38,82.6
Drangsholt_1990_016_B43,150,4.00,207.0,3.238,82.44,84.04,86.2
Drangsholt_1990_017_B44,150,3.00,207.0,3.238,82.44,84.04,107.2
Drangsholt_1990_019_B51,150,3.00,221.0,1.820,93.70,95.30,56.2
Drangsholt_1990_021_B53,150,4.00,207.0,3.238,93.70,95.30,76.8
Drangsholt_1990_022_B54,150,3.00,207.0,3.238,93.70,95.30,77.7
Drangsholt_1990_024_B61,300,3.00,442.0,1.820,73.77,75.37,180.3
Drangsholt_1990_026_B63,300,4.00,414.0,3.238,73.77,75.37,229.4
Drangsholt_1990_027_B64,300,3.00,414.0,3.238,73.77,75.37,280.7
Elzanaty_1986_002_F11,178,4.00,269.9,1.188,16.69,18.29,43.7
Elzanaty_1986_003_F12,178,4.00,268.3,2.440,16.69,18.29,53.2
Elzanaty_1986_004_F8,178,4.00,273.1,0.930,36.00,37.60,44.7
Elzanaty_1986_005_F13,178,4.00,269.9,1.188,36.00,37.60,47.6
Elzanaty_1986_006_F14,178,4.00,268.3,2.440,36.00,37.60,63.4
Elzanaty_1986_007_F1,178,4.00,269.9,1.188,61.52,63.12,57.4
Elzanaty_1986_008_F2,178,4.00,268.3,2.440,61.52,63.12,65.6
Elzanaty_1986_009_F10,178,4.00,266.7,3.206,61.52,63.12,74.9
Elzanaty_1986_010_F9,178,4.00,268.3,1.627,75.31,76.91,62.3
Elzanaty_1986_011_F15,178,4.00,268.3,2.440,75.31,76.91,66.3
Elzanaty_1986_015_F6,178,6.00,268.3,2.440,59.45,61.05,60.0
Feldman_1955_002_ L-2,152,3.02,252.5,3.353,17.52,19.12,76.4
Feldman_1955_003_ L-2A,152,3.02,252.5,3.353,32.69,34.29,80.9
Feldman_1955_004_ L-3,152,4.02,252.5,3.353,24.00,25.60,54.3
Feldman_1955_005_L-4,152,5.03,252.5,3.353,21.79,23.39,52.0
Feldman_1955_006_ L-5,152,6.04,252.5,3.353,23.93,25.53,52.2
Feldman_1955_009_L2R,152,2.87,252.5,3.353,17.52,19.12,74.8
Feldman_1955_010_L2aR,152,2.87,252.5,3.353,32.69,34.29,93.0
Feldman_1955_011_L3R,152,3.87,252.5,3.353,24.00,25.60,62.4
Ferguson_1953_001_A1,102,3.39,209.6,4.760,25.72,27.32,29.0
Ferguson_1953_002_A2,102,3.39,209.6,4.760,23.31,24.91,27.0
Ferguson_1953_003_A3,102,3.39,209.6,4.760,31.10,32.70,33.6
Ferguson_1953_004_A4,102,3.39,209.6,4.760,30.97,32.57,31.6
Ferguson_1953_005_A5,102,3.39,209.6,4.760,41.38,42.98,33.8
Ferguson_1953_006_A6,102,3.39,209.6,4.760,34.69,36.29,35.6
Ferguson_1953_007_D1,178,3.39,209.6,2.720,27.31,28.91,48.7
Ferguson_1953_008_D2,178,3.39,209.6,2.720,25.59,27.19,52.0
Ferguson_1953_009_N1,108,4.00,177.8,2.970,16.69,18.29,23.8
Ferguson_1953_010_N2,108,4.00,177.8,2.970,16.62,18.22,23.9
Ferguson_1953_011_N3,108,4.00,177.8,2.970,13.52,15.12,21.5
Ferguson_1953_012_G4,108,6.22,114.3,4.620,18.90,20.50,14.0
Ferguson_1953_013_G5,108,6.22,114.3,4.620,17.72,19.32,15.8
Ferguson_1953_014_G6,108,6.22,114.3,4.620,17.86,19.46,17.6
Ferguson_1953_015_B1,102,3.39,209.6,4.760,31.69,33.29,35.5
Ferguson_1953_016_B2,102,3.39,209.6,4.760,29.52,31.12,31.6
Ferguson_1953_017_B3,102,3.39,209.6,4.760,36.00,37.60,39.4
Ferguson_1953_018_B4,102,3.39,209.6,4.760,39.38,40.98,43.9
Ferguson_1953_019_B5,102,3.39,209.6,4.760,37.03,38.63,38.3
Ferguson_1953_020_C1,102,3.39,209.6,4.760,29.52,31.12,50.1
Ferguson_1953_021_C2,102,3.39,209.6,4.760,29.52,31.12,38.8
Ferguson_1953_022_L1,108,4.48,158.8,3.326,17.72,19.32,27.4
Ferguson_1953_023_L2,108,4.48,158.8,3.326,18.62,20.22,29.8
Ferguson_1953_024_L3,108,4.48,158.8,3.326,18.21,19.81,27.4
Ferguson1_1956_001_F2,101,3.23,189.0,2.077,25.31,26.91,22.2
Gabrielsson_1993_002_SAR3,200,4.23,260.0,3.093,133.00,134.60,108.0
Gabrielsson_1993_003_HP1,200,4.00,200.0,3.016,135.00,136.60,109.1
Gabrielsson_1993_004_HP3,200,4.00,200.0,4.021,121.00,122.60,102.1
Gabrielsson_1993_005_HP5,200,4.00,200.0,4.021,104.00,105.60,109.6
Ghannoum_1998_003_N155 (N),400,2.50,127.5,1.961,30.19,31.79,111.9
Ghannoum_1998_004_N155 (S),400,2.50,127.5,1.176,30.19,31.79,84.6
Ghannoum_1998_005_N220 (N),400,2.50,190.0,1.974,30.19,31.79,122.7
Ghannoum_1998_006_N220 (S),400,2.50,190.0,1.184,30.19,31.79,103.6
Ghannoum_1998_007_N350 (N),400,2.50,312.5,2.000,30.19,31.79,178.6
Ghannoum_1998_008_N350 (S),400,2.50,312.5,1.200,30.19,31.79,158.0
Ghannoum_1998_009_N485 (N),400,2.50,440.0,1.989,30.19,31.79,215.4
Ghannoum_1998_010_N485 (S),400,2.50,440.0,1.193,30.19,31.79,187.5
Ghannoum_1998_011_N960 (N),400,2.50,889.0,1.969,30.19,31.79,386.1
Ghannoum_1998_012_N960 (S),400,2.50,889.0,1.181,30.19,31.79,366.6
Ghannoum_1998_013_H90 (N),400,2.50,65.0,1.923,54.55,56.15,77.4
Ghannoum_1998_014_H90 (S),400,2.50,65.0,1.154,54.55,56.15,52.1
Ghannoum_1998_015_H155 (N),400,2.50,127.5,1.961,54.55,56.15,105.0
Ghannoum_1998_016_H155 (S),400,2.50,127.5,1.176,54.55,56.15,76.7
Ghannoum_1998_017_H220 (N),400,2.50,190.0,1.974,54.55,56.15,135.3
Ghannoum_1998_018_H220 (S),400,2.50,190.0,1.184,54.55,56.15,105.9
Ghannoum_1998_019_H350 (N),400,2.50,312.5,2.000,54.55,56.15,189.6
Ghannoum_1998_020_H350 (S),400,2.50,312.5,1.200,54.55,56.15,157.3
Ghannoum_1998_021_H485 (N),400,2.50,440.0,1.989,54.55,56.15,199.0
Ghannoum_1998_022_H485 (S),400,2.50,440.0,1.193,54.55,56.15,198.5
Ghannoum_1998_023_H960 (N),400,2.50,889.0,1.969,54.55,56.15,337.4
Ghannoum_1998_024_H960 (S),400,2.50,889.0,1.181,54.55,56.15,316.7
Grimm_1997_001_S 1.1,300,3.73,153.0,1.342,86.10,87.70,70.2
Grimm_1997_002_S 1.2,300,3.75,152.0,2.205,87.20,88.80,75.2
Grimm_1997_003_S 1.3,300,3.90,146.0,4.217,89.70,91.30,98.6
Grimm_1997_004_S 2.2,300,3.53,348.0,1.881,87.25,88.85,191.1
Grimm_1997_005_S 2.4,300,3.75,328.0,3.755,90.10,91.70,230.3
Grimm_1997_006_S 3.2,300,3.66,718.0,1.715,89.73,91.33,258.5
Grimm_1997_007_S 3.3,300,3.53,746.0,0.825,90.40,92.00,201.4
Grimm_1997_008_S 3.4,300,3.81,690.0,3.570,90.10,91.70,380.9
Grimm_1997_009_S 4.1,300,3.73,153.0,1.342,106.90,108.50,74.4
Grimm_1997_010_S 4.2,300,3.75,152.0,2.205,106.90,108.50,90.3
Grimm_1997_011_S 4.3,300,3.90,146.0,4.217,106.90,108.50,122.2
Haddadin_1971_001_A1,178,2.50,381.0,3.807,25.48,27.08,116.8
Haddadin_1971_002_C1,178,4.25,381.0,3.807,21.93,23.53,87.3
Haddadin_1971_003_E1,178,2.50,381.0,3.807,9.93,11.53,99.5
Haddadin_1971_004_J1,178,2.50,381.0,3.807,21.66,23.26,122.4
Hallgreen1_1994_001_B90SB5-2-33,156,3.66,191.3,2.272,28.80,30.40,56.6
Hallgreen1_1994_002_B90SB6-2-33,156,3.61,193.9,2.241,28.80,30.40,54.1
Hallgreen1_1994_003_B90SB9-2-31,156,3.65,191.8,2.266,27.10,28.70,49.6
Hallgreen1_1994_004_B90SB10-2-31,157,3.63,192.8,2.202,27.10,28.70,54.1
Hallgreen1_1994_005_B90SB13-2-86,163,3.65,191.8,2.169,82.20,83.80,83.1
Hallgreen1_1994_006_B90SB14-2-86,158,3.61,193.9,2.213,82.20,83.80,77.1
Hallgreen1_1994_007_B90SB17-2-45,157,3.66,191.3,2.258,40.90,42.50,59.6
Hallgreen1_1994_008_B90SB18-2-45,155,3.61,193.9,2.256,40.90,42.50,63.6
Hallgreen1_1994_009_B90SB21-2-85,155,3.61,193.9,2.256,80.60,82.20,69.6
Hallgreen1_1994_010_B90SB22-2-85,158,3.63,192.8,2.225,80.60,82.20,76.1
Hallgreen1_1994_011_B91SC1-2-62,156,3.63,192.8,2.254,57.80,59.40,71.6
Hallgreen1_1994_012_B91SC2-2-62,155,3.57,196.1,2.231,57.80,59.40,70.1
